"title","year","source","found","url"
"the Alzheimer's Disease Cooperative Study. Validity and reliability of the Al...","1997","None",FALSE,NA
"the Alzheimer’s Disease Cooperative Study. An inventory to assess activities ...","1997","None",FALSE,NA
"A32 computer-aided clinical monitoring: Results of a controlled experiment","1996","None",FALSE,NA
"A34 Clinical monitoring of rating scales in multicenter clinical trials","1996","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2014.04.253"
"ApoE and CYP2D6 polymorphism with and without parkinsonism-dementia complex i...","1996","None",FALSE,NA
"Apolipoprotein-epsilon4 and head trauma: Synergistic or additive risks?","1996","None",FALSE,NA
"Development of a pool of items to assess activities of daily living in clinic...","1996","None",FALSE,NA
"Evaluation of efficacy measures in clinical trials for Alzheimer's disease: D...","1996","None",FALSE,NA
"Familial melanoma and pancreatic cancer","1996","None",FALSE,NA
"P63 Informed consent issues when including genetic testing in clinical trials","1996","None",FALSE,NA
"Rate of dementia of the Alzheimer type (DAT) in subjects with mild cognitive ...","1996","None",FALSE,NA
"Rationale and design of a multicenter study of selegiline and alpha-tocophero...","1996","Unpaywall (publisher)",TRUE,"https://www.karger.com/Article/Pdf/170883"
"Substance-dependent inpatients who accept smoking treatment","1996","None",FALSE,NA
"Validity and reliability of the Alzheimers disease cooperative study-clinical...","1996","None",FALSE,NA
"Prospective study of hospitalization for asthma: a preliminary risk factor model","1995","None",FALSE,NA
"The Spanish Instrument Protocol: a Study to Evaluate Treatment Efficacy Instr...","1995","None",FALSE,NA
"Application of neural networks to the classification of giant cell arteritis","1994","None",FALSE,NA
"Drug and alcohol abuse inpatients' attitudes about smoking cessation","1994","None",FALSE,NA
"Zweibaryonensysteme mit Strangeness und die Antikaon-Deuteron Streuung","1994","None",FALSE,NA
"A controlled trial of two forms of self-management education for adults with ...","1993","None",FALSE,NA
"Algorithm AS 280: the power function for Fisher's exact test","1993","None",FALSE,NA
"Overtraining in neural networks that interpret clinical data","1993","None",FALSE,NA
"Prediction of cardiovascular death in men undergoing noninvasive evaluation f...","1993","None",FALSE,NA
"Trimethoprim-sulfamethoxazole prophylaxis in granulocytopenic patients with a...","1993","None",FALSE,NA
"An algorithm for the rapid evaluation of the power function for Fisher's Exac...","1992","None",FALSE,NA
"Calculation of observables in the pion-deuteron system. Berechnung von Observ...","1992","None",FALSE,NA
"Concave hymenal variations in suspected child sexual abuse victims","1992","None",FALSE,NA
"PROGRESSION OF FUNCTIONAL DISABILITY IN RHEUMATOID-ARTHRITIS","1992","None",FALSE,NA
"Sample size determination based on Fisher's exact test for use in 2 x 2 compa...","1992","None",FALSE,NA
"Two-baryon systems with strangeness S=-1 and S=-2","1992","Unpaywall (publisher)",TRUE,"https://www.sciencedirect.com/science/article/pii/S0370269310010397"
"An analysis of methods of communication in clinical trials","1991","None",FALSE,NA
"Integration of statutory provisions of NEPA, RCRA, and CERCLA at the Savannah...","1991","None",FALSE,NA
"A new confidence interval for the difference of two binomial proportions","1990","None",FALSE,NA
"Data monitoring through stochastic curtailing when the outcome proportions ar...","1990","None",FALSE,NA
"Development of an active target for scattering of neutral baryons","1990","Unpaywall (publisher)",TRUE,"https://repository.library.carleton.ca/downloads/6w924c33q"
"Test measurements of an asymmetric induction drift chamber with flash ADC's","1990","None",FALSE,NA
"\textperiodcentered","1990","None",FALSE,NA
"\textperiodcentered","1990","None",FALSE,NA
"Effect of zinc supplementation on the development of cardiovascular disease i...","1989","None",FALSE,NA
"Exact sample size calculations for 2x2 comparative trials when the outcome pr...","1989","Unpaywall (publisher)",TRUE,"https://ecoevorxiv.org/repository/object/5010/download/9927/"
"Risk factors, time course and treatment effect for restenosis after successfu...","1989","None",FALSE,NA
"Angiographic and clinical predictors of acute closure after native vessel cor...","1988","None",FALSE,NA
"FORMS INVENTORY SYSTEM FOR A COMPLEX CLINICAL-TRIAL","1988","None",FALSE,NA
"Influence of balloon size on initial success, acute complications, and resten...","1988","None",FALSE,NA
"A comparison of single lesion dilatation in single vessel and multivessel dis...","1987","None",FALSE,NA
"Effects of behavioral self-management on oral hygiene adherence among orthodo...","1987","None",FALSE,NA
"Impact of air filtration on nosocomial Aspergillus infections: unique risk of...","1987","None",FALSE,NA
"Impact of air filtration on nosocomial aspergillus infections","1987","Unpaywall (publisher)",TRUE,"http://www.jacionline.org/article/S0091674914030310/pdf"
"Is there dependence between sites for continued success or restenosis after s...","1987","None",FALSE,NA
"PROGNOSIS AFTER MULTIPLE VESSEL ANGIOPLASTY (PTCA) IN PATIENTS WITH CORONARY-...","1987","None",FALSE,NA
"Alzheimer's disease: a correlational analysis of the Blessed Information-Memo...","1986","None",FALSE,NA
"ELUTION OF PROSTAGLANDIN-E2 FROM FILTER-PAPER STRIPS-EFFICIENCY AND REPRODUCI...","1985","None",FALSE,NA
"Changes in shoulder and leg strength in athletes wearing mandibular orthopedi...","1984","None",FALSE,NA
"Early prediction of the adult respiratory distress syndrome by a simple scori...","1983","None",FALSE,NA
"Effects of concomitant development on reproduction of Meloidogyne incognita a...","1983","Unpaywall (publisher)",TRUE,"https://repository.lsu.edu/cgi/viewcontent.cgi?article=4773&context=gradschool_disstheses"
"Population dynamics of Meloidogyne incognita and Rotylenchulus reniformis alo...","1983","Unpaywall (publisher)",TRUE,"https://repository.lsu.edu/cgi/viewcontent.cgi?article=4773&context=gradschool_disstheses"
"THE EFFECT OF MANDIBULAR ORTHOPEDIC REPOSITIONING APPLIANCES ON BODY STRENGTH","1983","None",FALSE,NA
